,INT_IL10KO_1,INT_IL10KO_8,INT_IL10KO_20,INT_IL10KOZn_55,INT_IL10KOZn_60,INT_IL10KOZn_37,INT_IL10KOZn_42
1110018N20Rik,0.166224794024806,0,0,0,0,0,0.79556489774687
1110019D14Rik,0.249337191037209,0,0,0.512277979993566,0,0,0.477338938648122
1110020A21Rik,0.83112397012403,0,0,0.597657643325827,0,0,0.556895428422809
1110025L11Rik,0,0,0,0,0,0,0
1110025M09Rik,0.249337191037209,0,0,0.512277979993566,0,0,0.318225959098748
1110028F11Rik,3.07515868945891,0,0,2.64676956330009,1.47116310203976,0,1.90935575459249
1110028F18Rik,0,0,0,0,0,0,0
1110032A03Rik,10.8046116116124,19.8411449891352,10.5464368904418,13.2338478165004,14.7116310203976,0,8.67165738544088
1110032F04Rik,0.083112397012403,0,0,0.256138989996783,0,0,0
1110036E04Rik,0,0,0,0,0,0,0
1110038B12Rik,7.56322812812867,0,15.8196553356626,10.4163189265358,16.1827941224374,0,10.9787955889068
1110038F14Rik,19.4483009009023,15.8729159913081,5.27321844522088,7.0011323932454,22.0674465305964,0,11.933473466203
1110046J04Rik,0.166224794024806,0,0,0.256138989996783,0,0,0.079556489774687
1110051M20Rik,0.997348764148836,3.96822899782703,0,1.02455595998713,2.94232620407952,0,0.954677877296244
1110057P08Rik,0,0,0,0,0,0,0
1110058D11Rik,0,0,0,0,0,0,0
1110059E24Rik,0.332449588049612,0,0,0.512277979993566,0,0,0.636451918197496
1110059G10Rik,9.80726284746356,3.96822899782703,0,8.79410532322288,2.94232620407952,0,8.59210089566619
1110065P20Rik,4.15561985062015,7.93645799565406,0,6.65961373991636,4.41348930611929,0,5.09161534557997
1190005I06Rik,0,0,0,0,0,0,0.079556489774687
1190007I07Rik,4.65429423269457,0,0,3.07366787996139,5.88465240815905,0,5.09161534557997
1190028D05Rik,0,0,0,0,0,0,0
1300002E11Rik,6.06720498190542,0,0,4.01284417661627,11.7693048163181,0,6.04629322287621
1300017J02Rik,0,0,0,0,0,0,0
1500002C15Rik,0,0,0,0,0,0,0
1500002F19Rik,0,0,0,0,0,0,0
1500004A13Rik,0,0,0,0,0,0,0
1500009C09Rik,0.415561985062015,0,5.27321844522088,0.597657643325827,0,0,0.556895428422809
1500009L16Rik,0.581786779086821,0,0,0.426898316661305,1.47116310203976,0,0.397782448873435
1500011B03Rik,2.7427091014093,0,0,3.15904754329366,1.47116310203976,0,2.94359012166342
1500012K07Rik,0,0,0,0,0,0,0
1500015A07Rik,1.16357355817364,0,0,1.19531528665165,0,0,0.397782448873435
1500015L24Rik,0,0,0,0,0,0,0
1500026H17Rik,0.332449588049612,0,0,0.085379663332261,0,0,0.318225959098748
1500035N22Rik,0.332449588049612,0,0,0.85379663332261,2.94232620407952,0,1.03423436707093
1520401A03Rik,0,0,0,0,0,0,0
1600002D24Rik,0,0,0,0,0,0,0
1600010M07Rik,0.083112397012403,0,0,0.085379663332261,1.47116310203976,0,0.079556489774687
1600012H06Rik,8.06190251020309,0,0,8.28182734322931,7.35581551019881,0,6.20540620242558
1600012P17Rik,0,0,0,0,0,0,0
1600014C10Rik,8.3112397012403,3.96822899782703,0,7.17189171990992,17.6539572244771,0,9.94456122183587
1600014C23Rik,0,0,0,0,0,0,0
1600015H23Rik,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0
1600020E01Rik,1.08046116116124,0,0,1.36607461331618,1.47116310203976,0,1.1933473466203
1600023N17Rik,0.083112397012403,0,0,0.085379663332261,0,0,0.159112979549374
1600025M17Rik,0,0,0,0,0,0,0
1600027J07Rik,0.083112397012403,0,0,0,0,0,0.079556489774687
1600029I14Rik,0.083112397012403,0,0,0,0,0,0.079556489774687
1600029O15Rik,0.166224794024806,0,0,0,0,0,0.079556489774687
1700001C19Rik,0.083112397012403,0,0,0,0,0,0
1700001D01Rik,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0.170759326664522,0,0,0
1700001G17Rik,0,0,0,0,0,0,0.079556489774687
1700001J03Rik,0.166224794024806,0,5.27321844522088,0.341518653329044,0,0,0
1700001J04Rik,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0
1700001K19Rik,0.083112397012403,0,0,0,0,0,0
1700001K23Rik,0,0,0,0,0,0,0
1700001L05Rik,1.66224794024806,0,5.27321844522088,2.56138989996783,1.47116310203976,0,2.30713820346592
1700001L19Rik,0,0,0,0,0,0,0
1700001O22Rik,0.083112397012403,0,0,0,0,0,0.079556489774687
1700001P01Rik,0.083112397012403,0,5.27321844522088,0,0,0,0
1700003C15Rik,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0
1700003E16Rik,0,0,0,0,0,0,0
1700003E24Rik,0,0,0,0,0,0,0
1700003F12Rik,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0
1700003M07Rik,0.166224794024806,0,0,0.170759326664522,0,0,0.079556489774687
1700003P14Rik,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0
1700006H20Rik,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0
1700007J10Rik,0,0,0,0,0,0,0
1700007K13Rik,0,0,0,0,0,0,0
1700007L15Rik,1.66224794024806,0,0,0.512277979993566,1.47116310203976,0,1.03423436707093
1700007P06Rik,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0
1700008J07Rik,0.997348764148836,0,0,1.02455595998713,0,0,1.03423436707093
1700008K24Rik,0,0,0,0,0,0,0
1700008O03Rik,0,0,0,0,0,0,0
1700008P02Rik,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0
1700009J07Rik,0.083112397012403,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0
1700010G06Rik,0.083112397012403,0,5.27321844522088,0.085379663332261,0,0,0.318225959098748
1700010H22Rik,0,0,0,0,0,0,0
1700010I02Rik,0.166224794024806,0,0,0,0,0,0.079556489774687
1700010I14Rik,0.166224794024806,0,0,0.170759326664522,0,0,0.556895428422809
1700010J16Rik,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0
1700010L04Rik,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0.159112979549374
1700011C11Rik,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0.159112979549374
1700011M02Rik,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0
1700012B07Rik,0.083112397012403,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0,0
1700012D01Rik,0,0,0,0.256138989996783,0,0,0
1700012D14Rik,0,0,0,0.341518653329044,0,0,0
1700012D16Rik,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0
1700013H16Rik,0.166224794024806,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0
1700014D04Rik,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0
1700015C15Rik,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0
1700015I17Rik,0,0,0,0,0,0,0
1700016A09Rik,0,0,0,0.085379663332261,0,0,0
1700016B01Rik,0,0,0,0,0,0,0
1700016C15Rik,0.914236367136433,0,5.27321844522088,2.47601023663557,1.47116310203976,0,0.397782448873435
1700016C19Rik,0,0,0,0,0,0,0
1700016D06Rik,0,0,0,0,0,0,0
1700016G22Rik,0,0,0,0.085379663332261,0,0,0
1700016H13Rik,0,0,0,0,0,0,0
1700016J18Rik,0.083112397012403,0,0,0,0,0,0
1700016K05Rik,0,0,0,0,0,0,0
1700016K19Rik,0.083112397012403,0,0,0.426898316661305,0,0,0.159112979549374
1700016L04Rik,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0
1700017B05Rik,6.23342977593023,11.9046869934811,21.0928737808835,5.29353912660018,4.41348930611929,0,3.73915501941029
1700017G19Rik,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0
1700017M07Rik,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0
1700018A23Rik,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0
1700018L02Rik,0.166224794024806,0,0,0.256138989996783,0,0,0.079556489774687
1700019A02Rik,0,0,0,0,0,0,0
1700019C18Rik,0,0,0,0,0,0,0
1700019D03Rik,4.07250745360775,3.96822899782703,0,2.73214922663235,0,0,3.50048555008623
1700019E08Rik,0,0,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0
1700019J19Rik,0,0,0,0,0,0,0.159112979549374
1700019M22Rik,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0
1700020D12Rik,0,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0,0
1700020G03Rik,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0
1700020L13Rik,0,0,0,0,0,0,0
1700020L24Rik,0.415561985062015,0,0,0.085379663332261,0,0,0.079556489774687
1700020M21Rik,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0.085379663332261,0,0,0.159112979549374
1700020N15Rik,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0
1700021F02Rik,0,0,0,0,0,0,0
1700021F07Rik,0,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,0,0
1700022N22Rik,0,0,0,0.256138989996783,0,0,0.079556489774687
1700023A20Rik,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0
1700023D09Rik,0.498674382074418,0,0,0.341518653329044,0,0,0.159112979549374
1700023F02Rik,0,0,0,0,0,0,0
1700023G09Rik,0,0,0,0,0,0,0
1700024B05Rik,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0
1700025G04Rik,4.32184464464496,7.93645799565406,0,6.40347474991957,1.47116310203976,0,5.56895428422809
1700025H01Rik,0,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0
1700025N23Rik,0.083112397012403,0,0,0.170759326664522,0,0,0.159112979549374
1700025O08Rik,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0
1700028E10Rik,0.166224794024806,0,0,0,0,0,0.079556489774687
1700028I16Rik,0,0,0,0,0,0,0
1700028J19Rik,0,0,0,0.085379663332261,0,0,0.238669469324061
1700028K03Rik,0,0,0,0,0,0,0
1700028M03Rik,0,0,0,0,0,0,0
1700028P14Rik,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0
1700029H14Rik,0,0,0,0,0,0,0
1700029I15Rik,0.083112397012403,0,0,0.426898316661305,0,0,0.079556489774687
1700029J03Rik,0,0,0,0,0,0,0
1700029J07Rik,0.415561985062015,0,5.27321844522088,0.768416969990349,1.47116310203976,0,0.477338938648122
1700029M03Rik,0,0,0,0,0,0,0
1700029M20Rik,0.083112397012403,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0
1700030C10Rik,1.57913554323566,0,0,0.768416969990349,0,0,1.35246032616968
1700030C12Rik,0,0,0,0.170759326664522,0,0,0
1700030C14Rik,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0,0
1700030J22Rik,0.415561985062015,0,0,0.085379663332261,0,0,0.159112979549374
1700030K09Rik,0.332449588049612,3.96822899782703,0,0.341518653329044,2.94232620407952,0,1.1933473466203
1700030L20Rik,0,0,0,0.256138989996783,0,0,0
1700030L22Rik,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0
1700034H15Rik,0,0,0,0,1.47116310203976,0,0.079556489774687
1700034I23Rik,0,0,0,0,0,0,0
1700034J05Rik,0,0,0,0,0,0,0.079556489774687
1700034K08Rik,0,0,0,0,0,0,0
1700034P13Rik,0,0,0,0.170759326664522,0,0,0
1700036A12Rik,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0
1700037C18Rik,1.32979835219845,0,0,0.512277979993566,0,0,0.636451918197496
1700037F03Rik,0,0,0,0,0,0,0
1700037H04Rik,3.40760827750852,0,5.27321844522088,1.5368339399807,10.2981417142783,0,3.10270310121279
1700039E22Rik,0,0,0,0,0,0,0
1700039I01Rik,0.166224794024806,0,0,0,0,0,0
1700039M10Rik,0,0,0,0,0,0,0
1700040D17Rik,0,0,0,0,0,0,0
1700040G22Rik,0,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0,0
1700040P09Rik,0,0,0,0,0,0,0
1700041A01Rik,0.166224794024806,0,0,0,0,0,0
1700041B01Rik,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0,0
1700041G16Rik,0,0,0,0.085379663332261,0,0,0
1700041I07Rik,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0
1700042O10Rik,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0
1700047E10Rik,0,0,0,0,0,0,0
1700047F07Rik,0,0,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0,0
1700047L14Rik,0,0,0,0,0,0,0
1700047M11Rik,0,0,0,0,0,0,0
1700048B10Rik,0,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0,0
1700048O14Rik,0,0,0,0,0,0,0
1700048O20Rik,0.415561985062015,3.96822899782703,0,0.341518653329044,0,0,0.159112979549374
1700049E15Rik,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0
1700049J03Rik,0.083112397012403,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0
1700052H01Rik,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0
1700052K11Rik,0.997348764148836,0,0,1.02455595998713,2.94232620407952,0,1.11379085684562
1700054A03Rik,0,0,0,0,0,0,0.238669469324061
1700054K19Rik,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0
1700054O19Rik,0,0,0,0.085379663332261,0,0,0.159112979549374
1700055C04Rik,0,0,0,0,0,0,0
1700055D16Rik,0.083112397012403,0,0,0,0,0,0
1700055D18Rik,0.083112397012403,0,0,0,0,0,0
1700055K11Rik,0,0,0,0,0,0,0
1700055L01Rik,0,0,0,0,0,0,0
1700056E22Rik,0.415561985062015,0,0,0.085379663332261,0,0,0.238669469324061
1700057G04Rik,0.166224794024806,0,0,0,0,0,0
1700057H15Rik,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0.085379663332261,0,0,0
1700060J05Rik,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0,0
1700062C10Rik,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0
1700064F23Rik,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0
1700065D16Rik,0,0,0,0,0,0,0.079556489774687
1700065I16Rik,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0
1700066B19Rik,3.49072067452093,7.93645799565406,5.27321844522088,1.70759326664522,1.47116310203976,0,3.34137257053685
1700066C05Rik,0,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0,0
1700066M21Rik,0.83112397012403,0,0,0.256138989996783,0,0,0.477338938648122
1700066N21Rik,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0
1700067G17Rik,0.083112397012403,0,0,0,0,0,0.079556489774687
1700067K01Rik,0,0,0,0,0,0,0
1700067P10Rik,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0
1700071M16Rik,0,0,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0,0
1700072F12Rik,0,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0,0
1700080F18Rik,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0
1700082M22Rik,0.083112397012403,0,0,0,0,0,0.159112979549374
1700083H02Rik,0,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,0,0
1700084E18Rik,0.249337191037209,0,0,0.170759326664522,1.47116310203976,0,0.556895428422809
1700084F23Rik,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0,0
1700086L19Rik,0,0,0,0.085379663332261,0,0,0
1700086O06Rik,0.83112397012403,0,0,0.512277979993566,1.47116310203976,0,0.875121387521557
1700086P04Rik,0.415561985062015,0,0,0.170759326664522,1.47116310203976,0,0
1700087M22Rik,0,0,0,0,0,0,0
1700088E04Rik,0,0,0,0.426898316661305,0,0,0.159112979549374
1700091H14Rik,0,0,0,0,0,0,0
1700091J24Rik,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0
1700092M07Rik,0,0,0,0,0,0,0
1700093K21Rik,0,0,0,0,0,0,0
1700094D03Rik,2.32714711634728,0,5.27321844522088,1.87835259330974,4.41348930611929,0,1.43201681594437
1700094J05Rik,0,0,0,0,0,0,0
1700094M23Rik,0,0,0,0.170759326664522,0,0,0
1700094M24Rik,0,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0,0
1700095J07Rik,0,0,0,0,0,0,0
1700095J12Rik,0,0,0,0,0,0,0
1700095K22Rik,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0
1700096K18Rik,0.997348764148836,0,0,0.683037306658088,1.47116310203976,0,1.1933473466203
1700096P03Rik,0,0,0,0,0,0,0
1700097N02Rik,3.65694546854573,3.96822899782703,5.27321844522088,1.79297292997748,7.35581551019881,0,5.25072832512934
1700099I09Rik,0,0,0,0,0,0,0
1700100I10Rik,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0
1700101I11Rik,0,0,0,0,0,0,0
1700101O22Rik,0,0,0,0,0,0,0
1700102H20Rik,0,0,0,0.170759326664522,0,0,0.079556489774687
1700102J08Rik,0,0,0,0,0,0,0
1700102P08Rik,0.083112397012403,0,0,0.426898316661305,0,0,0.159112979549374
1700104B16Rik,0,0,0,0,0,0,0
1700104L18Rik,0,0,0,0,0,0,0
1700105F02Rik,0,0,0,0,0,0,0
1700105P06Rik,0,0,0,0,0,0,0
1700108F19Rik,0,0,0,0,0,0,0
1700108I11Rik,0,0,0,0,0,0,0
1700108J01Rik,0,0,0,0,0,0,0
1700108N06Rik,0,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0,0
1700109H08Rik,0,0,0,0.256138989996783,0,0,0.079556489774687
1700109I08Rik,0,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0,0
1700110C19Rik,0,0,0,0,0,0,0
1700110I01Rik,0,0,0,0.085379663332261,0,0,0
1700110I07Rik,0,0,0,0,0,0,0
1700110K17Rik,0,0,0,0.085379663332261,0,0,0.159112979549374
1700111N16Rik,0,0,0,0,0,0,0
1700112D23Rik,0,0,0,0,0,0,0
1700112H15Rik,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0
1700112J16Rik,0,0,0,0.085379663332261,1.47116310203976,0,0.079556489774687
1700112M02Rik,0,0,0,0,0,0,0
1700112N08Rik,0,0,0,0,0,0,0
1700113A16Rik,0.166224794024806,0,10.5464368904418,0.512277979993566,2.94232620407952,0,0.079556489774687
1700113B09Rik,0,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,0,0.079556489774687
1700116B05Rik,0,0,0,0,0,0,0
1700116H05Rik,0,0,0,0,0,0,0
1700119H24Rik,0.415561985062015,0,0,0.597657643325827,1.47116310203976,0,1.51157330571905
1700120B22Rik,0,0,0,0,0,0,0
1700120C14Rik,0,0,0,0,2.94232620407952,0,0.159112979549374
1700120E14Rik,0,0,0,0.085379663332261,0,0,0
1700120G07Rik,0,0,0,0,0,0,0
1700120K04Rik,0,0,0,0.170759326664522,1.47116310203976,0,0
1700121C08Rik,0,0,0,0,0,0,0
1700121C10Rik,0,0,0,0,0,0,0.079556489774687
1700121L16Rik,0,0,0,0,0,0,0
1700121M21Rik,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0,0
1700122E12Rik,0,0,0,0,0,0,0
1700122H20Rik,0,0,0,0,0,0,0
1700122O11Rik,0,0,0,0,0,0,0
1700123J17Rik,0,0,0,0,0,0,0.079556489774687
1700123K08Rik,0,0,0,0,0,0,0
1700123L14Rik,0,0,0,0,0,0,0
1700123M08Rik,0.083112397012403,0,0,0.426898316661305,0,0,0
1700123O12Rik,0,0,0,0,0,0,0
